rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
1,Walmart,572754,24000.00%,13673,12000.00%,244860,409795,-,2300000
1,Walmart,572754,24000.00%,13673,12000.00%,244860,409795,-,2300000
2,Amazon,469822,217000.00%,33364,564000.00%,420549,1658807.3,-,1608000
2,Amazon,469822,217000.00%,33364,564000.00%,420549,1658807.3,-,1608000
3,Apple,365817,333000.00%,94680,649000.00%,351002,2849537.6,-,154000
4,CVS Health,292111,87000.00%,7910,102000.00%,232999,132839.2,-,258000
5,UnitedHealth Group,287597,118000.00%,17285,122000.00%,212206,479830.3,-,350000
6,Exxon Mobil,285640,574000.00%,23040,-,338923,349652.4,4,63000
7,Berkshire Hathaway,276094,125000.00%,89795,1112000.00%,958784,779542.3,-1,372000
8,Alphabet,257637,412000.00%,76033,888000.00%,359268,1842326.1,1,156500
9,McKesson,238228,31000.00%,-4539,-6043000.00%,65015,45857.8,-2,67500
10,AmerisourceBergen,213988.8,127000.00%,1539.9,-,57337.8,32355.7,-2,40000
11,Costco Wholesale,195929,175000.00%,5007,251000.00%,59268,255230.7,1,288000
12,Cigna,174078,85000.00%,5365,-366000.00%,154889,76286.3,1,72963
13,AT&T,168864,-17000.00%,20081,-,551622,169262.4,-2,202600
14,Microsoft,168088,175000.00%,61271,384000.00%,333779,2311358.9,1,181000
15,Cardinal Health,162467,62000.00%,611,-,44453,15709.4,-1,46827
16,Chevron,162465,716000.00%,15625,-,239535,317120.1,11,42595
17,Home Depot,151157,144000.00%,16433,277000.00%,71876,309312.6,1,490600
18,Walgreens Boots Alliance,148579,65000.00%,2542,4575000.00%,81285,38671.1,-2,258500
19,Marathon Petroleum,141032,585000.00%,9738,-,85373,47758.1,13,17700
20,Elevance Health,138639,138000.00%,6104,335000.00%,97460,118533.5,3,98200
21,Kroger,137888,41000.00%,1655,-360000%,49086,41496.2,-4,420000
22,Ford Motor,136341,72000.00%,17937,-,257035,67958.2,-1,183000
23,Verizon Communications,133613,41000.00%,22065,240000%,366596,213837.1,-3,118400
24,JPMorgan Chase,127202,-18000.00%,48334,659000.00%,3743567,402526.9,-5,271025
25,General Motors,127004,37000.00%,10019,559000.00%,244718,63555.2,-3,157000
